,MobileNetV3,GraphSage,FSDP,Transformer-XL,DLRM,MoE
MobileNetV3,"297.44991,303.37723","340.15167,35735.40866","332.93081,1.82982","327.657601531145,11.81168459","292.706695162908,3449.795096","328.692720246462,2.2244586"
GraphSage,"35735.40866,340.15167","39447.88427,36910.07705","39652.5624,2.06256","40719.4677133403,13.04654174","38994.4644326012,2813.140114","38631.1020606409,2.681982186"
FSDP,"1.82982,332.93081","2.06256,39652.5624","1.45629,1.165","1.28232305610406,10.54699232","1.85981558608933,2868.084022","1.24420960890924,1.485865068"
Transformer-XL,"11.8116845909897,327.6576015","13.0465417350207,40719.46771","10.546992321756,1.282323056","8.8552102822779,8.805507697","11.4062211341179,4614.513099","8.25130518160408,1.54094784"
DLRM,"3449.795096,292.7066952","2813.14011443901,38994.46443","2868.084022,1.85981558608933","4614.513099,11.4062211341179","3855.50178099505,3541.738653","3624.66520835021,2.244665376"
MoE,"2.2244586,328.6927202","2.68198218583769,38631.10206","1.48586506797189,1.244209609","1.54094784017958,8.251305182","2.24466537597058,3624.665208","1.52982444494312,1.434175018"
