,MobileNetV3,GraphSage,FSDP,Transformer-XL,DLRM,MoE
MobileNetV3,"0.129468921445763,0.112121744327652","0.00449591611197653,0.117099876911393","0.0256288290245714,0.154969774497896","0.0410616521706052,0.127787494452233","0.143350639977626,0.269701331414177","0.0380322244203108,0.194791755196824"
GraphSage,"0.117099876911393,0.004495916112","0.0253772607180782,0.0880778255340944","0.0203203618900868,0.0474879813797976","-0.00603923123600003,0.0366016999711946","0.0365797191552841,0.404476954999896","0.0455571646346922,0.0291776306350461"
FSDP,"0.154969774497896,0.0256288290245714","0.0474879813797976,0.0203203618900868","0.32833865085822,0.403014013824549","0.407809652716573,0.221176409843411","0.141117495652363,0.404476954999896","0.425410845663257,0.4621474171371"
Transformer-XL,"0.127787494452233,0.0410616521706052","0.0366016999711946,-0.00603923123600003","0.221176409843411,0.407809652716573","0.34610299759022,0.349773195183702","0.157728210774441,0.0231382795846785","0.390697278525693,0.442208586928518"
DLRM,"0.269701331414177,0.143350639977626","0.404476954999896,0.0365797191552841","0.392845695236874,0.141117495652363","0.0231382795846785,0.157728210774441","0.183815925542917,0.250237492083597","0.232682492100785,0.187477317993225"
MoE,"0.194791755196824,0.0380322244203108","0.0291776306350461,0.0455571646346922","0.4621474171371,0.425410845663257","0.442208586928518,0.390697278525693","0.187477317993225,0.232682492100785","0.480858151684474,0.446235027139742"
